Date,Close
02/01/2020 16:00:00,86.05
03/01/2020 16:00:00,88.6
06/01/2020 16:00:00,90.31
07/01/2020 16:00:00,93.81
08/01/2020 16:00:00,98.43
09/01/2020 16:00:00,96.27
10/01/2020 16:00:00,95.63
13/01/2020 16:00:00,104.97
14/01/2020 16:00:00,107.58
15/01/2020 16:00:00,103.7
16/01/2020 16:00:00,102.7
17/01/2020 16:00:00,102.1
21/01/2020 16:00:00,109.44
22/01/2020 16:00:00,113.91
23/01/2020 16:00:00,114.44
24/01/2020 16:00:00,112.96
27/01/2020 16:00:00,111.6
28/01/2020 16:00:00,113.38
29/01/2020 16:00:00,116.2
30/01/2020 16:00:00,128.16
31/01/2020 16:00:00,130.11
03/02/2020 16:00:00,156
04/02/2020 16:00:00,177.41
05/02/2020 16:00:00,146.94
06/02/2020 16:00:00,149.79
07/02/2020 16:00:00,149.61
10/02/2020 16:00:00,154.26
11/02/2020 16:00:00,154.88
12/02/2020 16:00:00,153.46
13/02/2020 16:00:00,160.8
14/02/2020 16:00:00,160.01
18/02/2020 16:00:00,171.68
19/02/2020 16:00:00,183.48
20/02/2020 16:00:00,179.88
21/02/2020 16:00:00,180.2
24/02/2020 16:00:00,166.76
25/02/2020 16:00:00,159.98
26/02/2020 16:00:00,155.76
27/02/2020 16:00:00,135.8
28/02/2020 16:00:00,133.6
02/03/2020 16:00:00,148.72
03/03/2020 16:00:00,149.1
04/03/2020 16:00:00,149.9
05/03/2020 16:00:00,144.91
06/03/2020 16:00:00,140.7
09/03/2020 16:00:00,121.6
10/03/2020 16:00:00,129.07
11/03/2020 16:00:00,126.85
12/03/2020 16:00:00,112.11
13/03/2020 16:00:00,109.32
16/03/2020 16:00:00,89.01
17/03/2020 16:00:00,86.04
18/03/2020 16:00:00,72.24
19/03/2020 16:00:00,85.53
20/03/2020 16:00:00,85.51
23/03/2020 16:00:00,86.86
24/03/2020 16:00:00,101
25/03/2020 16:00:00,107.85
26/03/2020 16:00:00,105.63
27/03/2020 16:00:00,102.87
30/03/2020 16:00:00,100.43
31/03/2020 16:00:00,104.8
01/04/2020 16:00:00,96.31
02/04/2020 16:00:00,90.89
03/04/2020 16:00:00,96
06/04/2020 16:00:00,103.25
07/04/2020 16:00:00,109.09
08/04/2020 16:00:00,109.77
09/04/2020 16:00:00,114.6
13/04/2020 16:00:00,130.19
14/04/2020 16:00:00,141.98
15/04/2020 16:00:00,145.97
16/04/2020 16:00:00,149.04
17/04/2020 16:00:00,150.78
20/04/2020 16:00:00,149.27
21/04/2020 16:00:00,137.34
